#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|      /Users/cris/bow-256-4M.bin|  1.63e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.93091151|  PASSED
      diehard_operm5|   0|   1000000|     100|0.14292376|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.37979053|  PASSED
# The file file_input_raw was rewound 1 times
    diehard_rank_6x8|   0|    100000|     100|0.24034419|  PASSED
# The file file_input_raw was rewound 1 times
   diehard_bitstream|   0|   2097152|     100|0.07472152|  PASSED
# The file file_input_raw was rewound 2 times
        diehard_opso|   0|   2097152|     100|0.27363956|  PASSED
# The file file_input_raw was rewound 2 times
        diehard_oqso|   0|   2097152|     100|0.69895886|  PASSED
# The file file_input_raw was rewound 2 times
         diehard_dna|   0|   2097152|     100|0.28604687|  PASSED
# The file file_input_raw was rewound 2 times
diehard_count_1s_str|   0|    256000|     100|0.70761858|  PASSED
# The file file_input_raw was rewound 3 times
diehard_count_1s_byt|   0|    256000|     100|0.46758063|  PASSED
# The file file_input_raw was rewound 3 times
 diehard_parking_lot|   0|     12000|     100|0.30014525|  PASSED
# The file file_input_raw was rewound 3 times
    diehard_2dsphere|   2|      8000|     100|0.55701728|  PASSED
# The file file_input_raw was rewound 3 times
    diehard_3dsphere|   3|      4000|     100|0.87206774|  PASSED
# The file file_input_raw was rewound 4 times
     diehard_squeeze|   0|    100000|     100|0.38321678|  PASSED
# The file file_input_raw was rewound 4 times
        diehard_sums|   0|       100|     100|0.18486176|  PASSED
# The file file_input_raw was rewound 4 times
        diehard_runs|   0|    100000|     100|0.08558241|  PASSED
        diehard_runs|   0|    100000|     100|0.37445728|  PASSED
# The file file_input_raw was rewound 4 times
       diehard_craps|   0|    200000|     100|0.94827998|  PASSED
       diehard_craps|   0|    200000|     100|0.41772378|  PASSED
# The file file_input_raw was rewound 12 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.70843699|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.01185157|  PASSED
# The file file_input_raw was rewound 12 times
         sts_monobit|   1|    100000|     100|0.61250060|  PASSED
# The file file_input_raw was rewound 12 times
            sts_runs|   2|    100000|     100|0.16241078|  PASSED
# The file file_input_raw was rewound 12 times
          sts_serial|   1|    100000|     100|0.12060810|  PASSED
          sts_serial|   2|    100000|     100|0.55568537|  PASSED
          sts_serial|   3|    100000|     100|0.17535252|  PASSED
          sts_serial|   3|    100000|     100|0.10969519|  PASSED
          sts_serial|   4|    100000|     100|0.72790683|  PASSED
          sts_serial|   4|    100000|     100|0.08803505|  PASSED
          sts_serial|   5|    100000|     100|0.94277205|  PASSED
          sts_serial|   5|    100000|     100|0.90990415|  PASSED
          sts_serial|   6|    100000|     100|0.83681050|  PASSED
          sts_serial|   6|    100000|     100|0.54644624|  PASSED
          sts_serial|   7|    100000|     100|0.88949490|  PASSED
          sts_serial|   7|    100000|     100|0.26380475|  PASSED
          sts_serial|   8|    100000|     100|0.45310707|  PASSED
          sts_serial|   8|    100000|     100|0.66048145|  PASSED
          sts_serial|   9|    100000|     100|0.21447587|  PASSED
          sts_serial|   9|    100000|     100|0.12597338|  PASSED
          sts_serial|  10|    100000|     100|0.90404144|  PASSED
          sts_serial|  10|    100000|     100|0.53304439|  PASSED
          sts_serial|  11|    100000|     100|0.98390909|  PASSED
          sts_serial|  11|    100000|     100|0.66421064|  PASSED
          sts_serial|  12|    100000|     100|0.04225790|  PASSED
          sts_serial|  12|    100000|     100|0.10825822|  PASSED
