#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  3.72e+07  |1650568772|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.97620874|  PASSED
      diehard_operm5|   0|   1000000|     100|0.87873560|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.14448625|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.62530876|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.24952078|  PASSED
        diehard_opso|   0|   2097152|     100|0.55730109|  PASSED
        diehard_oqso|   0|   2097152|     100|0.21102166|  PASSED
         diehard_dna|   0|   2097152|     100|0.15110870|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.35610311|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.77679896|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.08460368|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.85007183|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.01743816|  PASSED
     diehard_squeeze|   0|    100000|     100|0.12547237|  PASSED
        diehard_sums|   0|       100|     100|0.08855109|  PASSED
        diehard_runs|   0|    100000|     100|0.08051884|  PASSED
        diehard_runs|   0|    100000|     100|0.40950717|  PASSED
       diehard_craps|   0|    200000|     100|0.36943614|  PASSED
       diehard_craps|   0|    200000|     100|0.78011361|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.94508197|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.18177180|  PASSED
         sts_monobit|   1|    100000|     100|0.33093204|  PASSED
            sts_runs|   2|    100000|     100|0.36332786|  PASSED
          sts_serial|   1|    100000|     100|0.98562669|  PASSED
          sts_serial|   2|    100000|     100|0.35962966|  PASSED
          sts_serial|   3|    100000|     100|0.42374822|  PASSED
          sts_serial|   3|    100000|     100|0.97159250|  PASSED
          sts_serial|   4|    100000|     100|0.15284886|  PASSED
          sts_serial|   4|    100000|     100|0.91212379|  PASSED
          sts_serial|   5|    100000|     100|0.20847892|  PASSED
          sts_serial|   5|    100000|     100|0.65272799|  PASSED
          sts_serial|   6|    100000|     100|0.58495391|  PASSED
          sts_serial|   6|    100000|     100|0.31534988|  PASSED
          sts_serial|   7|    100000|     100|0.26478981|  PASSED
          sts_serial|   7|    100000|     100|0.78532625|  PASSED
          sts_serial|   8|    100000|     100|0.87132459|  PASSED
          sts_serial|   8|    100000|     100|0.96367403|  PASSED
          sts_serial|   9|    100000|     100|0.22798102|  PASSED
          sts_serial|   9|    100000|     100|0.41398155|  PASSED
          sts_serial|  10|    100000|     100|0.31406992|  PASSED
          sts_serial|  10|    100000|     100|0.58740553|  PASSED
          sts_serial|  11|    100000|     100|0.04652123|  PASSED
          sts_serial|  11|    100000|     100|0.24269179|  PASSED
          sts_serial|  12|    100000|     100|0.10806450|  PASSED
          sts_serial|  12|    100000|     100|0.43513453|  PASSED
          sts_serial|  13|    100000|     100|0.19593585|  PASSED
          sts_serial|  13|    100000|     100|0.14176875|  PASSED
          sts_serial|  14|    100000|     100|0.35386390|  PASSED
          sts_serial|  14|    100000|     100|0.72152274|  PASSED
          sts_serial|  15|    100000|     100|0.55460201|  PASSED
          sts_serial|  15|    100000|     100|0.56612314|  PASSED
          sts_serial|  16|    100000|     100|0.91734962|  PASSED
          sts_serial|  16|    100000|     100|0.87905532|  PASSED
         rgb_bitdist|   1|    100000|     100|0.23389621|  PASSED
         rgb_bitdist|   2|    100000|     100|0.34904630|  PASSED
         rgb_bitdist|   3|    100000|     100|0.10891006|  PASSED
         rgb_bitdist|   4|    100000|     100|0.57593753|  PASSED
         rgb_bitdist|   5|    100000|     100|0.93546439|  PASSED
         rgb_bitdist|   6|    100000|     100|0.56909583|  PASSED
         rgb_bitdist|   7|    100000|     100|0.63706155|  PASSED
         rgb_bitdist|   8|    100000|     100|0.78720354|  PASSED
         rgb_bitdist|   9|    100000|     100|0.46654419|  PASSED
         rgb_bitdist|  10|    100000|     100|0.59302007|  PASSED
